[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | NOTIC: [8] Undefined index:  mapping_order RelationModel.class.php 第 197 行.
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | NOTIC: [8] Undefined index:  mapping_limit RelationModel.class.php 第 198 行.
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='583' [ RunTime:0.000793s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001954s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000705s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001870s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='352' LIMIT 1   [ RunTime:0.000738s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001655s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.000779s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001588s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | NOTIC: [8] Undefined index:  mapping_order RelationModel.class.php 第 197 行.
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | NOTIC: [8] Undefined index:  mapping_limit RelationModel.class.php 第 198 行.
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='582' [ RunTime:0.000814s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001895s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000686s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001811s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='366' LIMIT 1   [ RunTime:0.000763s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001663s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.000824s ]
